id,attention,progress-belief,progressbelief-recoded,humanprogress1,humanprogress2,humanprogress3,humanprogress4,inevitableprogress1,inevitableprogress2,inevitableprogress3,inevitableprogress4,humanprogress.mean,inevitableprogress.mean,moral-setback-example,humanintervention1,humanintervention2,humanintervention3,humanintervention4,divineintervention1,divineintervention2,divineintervention3,divineintervention4,humanintervention-mean,divineintervention-mean,crs-think,crs-believe,crs-services,crs-pray,crs-intervention,crs-mean,open-ended-why,gender - Selected Choice,gender - Prefer to self-identify: - Text,politics - Selected Choice,politics - Other - Text,age,religion,country,Choose one or more races that you consider yourself to be,"Are you of Spanish, Hispanic, or Latino origin?",religion-other
64,instructions,Yes,2,5,4,3,6,5,5,5,3,4.5,4.5,war in Ukraine,4,2,1,1,6,6,3,4,2,4.75,5,5,3,5,5,4.6,I think moral progress occurs on an individual basis,Woman,,Conservative,,66,Non-denominational Christianity,United States of America,White or Caucasian,No,
101,instructions,Yes,2,5,6,3,4,5,4,4,4,4.5,4.25,people are still very racist,4,4,4,4,5,5,4,4,4,4.5,3,4,4,4,4,3.8,"without effort, people may revert to more primal behavior",Man,,Very liberal,,33,Non-denominational Christianity,United States of America,White or Caucasian,No,
63,instructions,Not sure,1,5,5,3,5,5,4,4,3,4.5,4,Donald Trump promoted racism,5,5,4,2,1,3,1,1,4,1.5,2,3,1,2,2,2,I think people act out of self interest. I think democracy and capitalism make people act in a way that improve morality. ,Man,,Moderate,,54,Agnosticism,United States of America,White or Caucasian,No,
89,instructions,Not sure,1,5,5,4,4,3,4,3,6,4.5,4,kids being put on hormone blockers,5,6,6,4,5,6,5,4,5.25,5,5,5,5,4,4,4.6,"Yes and no. We all make choices that can have an effect, but we are all also messed up and unable to see our own selfishness. What we think is ""moral"" may not be shared by those who come after us. ",Man,,Conservative,,43,Non-denominational Christianity,United States of America,White or Caucasian,No,
100,instructions,No,0,6,3,3,6,2,4,2,3,4.5,2.75,"Drug addiction, so many people using openly and doing whatever they need to to survive, hurting themselves and many others along their way.",5,5,5,6,3,3,3,1,5.25,2.5,3,4,2,3,3,3,"Some people only see things that effect them, they may not know a homeless person or an addict. People speaking out may help bring more help to those who need it.",Woman,,Liberal,,59,Spiritual but no religion,United States of America,White or Caucasian,No,
98,instructions,No,0,6,4,3,5,1,2,1,2,4.5,1.5,Child gender transitioning ,7,6,6,6,7,5,7,4,6.25,5.75,5,5,5,5,4,4.8,"I think the question is confusing, as I believe the Princeton view on ""moral progress"" is quite different than mind. I do believe that man is fallen and naturally trends toward depravity if they have not called upon the name of the Lord for salvation. ",Man,,Very conservative,,30,Baptist,United States of America,White or Caucasian,No,
12,instructions,Yes,2,6,1,7,5,6,4,6,7,4.75,5.75,The strong do not help the weak,6,5,5,5,5,7,6,6,5.25,6,4,4,4,4,3,3.8,"Believe that the world needs people's active efforts to make the world a better place, and morality can progress",Woman,,Conservative,,42,Non-denominational Christianity,United States of America,White or Caucasian,No,
43,instructions,Not sure,1,6,4,4,5,4,4,6,6,4.75,5,4 kids shoot up a birthday party and 4 die 30 injured.,4,6,4,4,6,6,6,6,4.5,6,3,4,1,3,3,2.8,people need to try harder to care.,Man,,Moderate,,46,Spiritual but no religion,United States of America,"White or Caucasian,American Indian/Native American or Alaska Native",No,
112,instructions,Yes,2,4,5,6,4,6,6,5,3,4.75,5,train derailments,4,4,3,5,5,5,4,4,4,4.5,3,5,4,3,4,3.8,"Yes, someone has to do the work to make progress happen",Man,,Liberal,,31,Catholicism,United States of America,Black or African American,No,
29,instructions,Yes,2,6,4,3,6,5,5,5,4,4.75,4.75,transgenders and their actions to make it a better place for them and them alone.,2,2,1,1,2,1,1,1,1.5,1.25,1,3,2,2,1,1.8,I believe it is true to some degree. I think to some it becomes obvious what is moral or not based on history and doesn't require active work,Woman,,Moderate,,24,Catholicism,United States of America,White or Caucasian,Yes,
113,instructions,Yes,2,6,5,5,3,5,4,4,5,4.75,4.5,Shooting at a school,5,4,4,4,4,5,4,3,4.25,4,3,3,2,3,3,2.8,"Yes because if we do not actively work to make the world better, then we would not be succeeding and improving ourselves and our moral progress. ",Woman,,Moderate,,28,Non-denominational Christianity,United States of America,White or Caucasian,No,
11,instructions,No,0,6,5,3,5,4,3,4,5,4.75,4,The Boston marathon bombing,6,3,4,2,6,6,4,4,3.75,5,5,5,5,4,4,4.6,"Yes, I believe it’s true, people need to work to make things better",Woman,,Conservative,,66,Mormonism (Latter Day Saints),United States of America,White or Caucasian,No,
136,instructions,Not sure,1,6,5,3,5,3,5,3,5,4.75,4,Allowing trans-women to compete with biological women is a bizarre example of a step backwards with regards to women's rights.,7,7,7,7,6,3,4,7,7,5,5,5,5,4,4,4.6,Revelations tells us that the lack of moral progress will bring on the events described by John in this chape of the bible.  The moral progress will not occur in the current world bur in the New Jerusalem.  Evil will rule the world at the end until Jesus returns.,Man,,Very conservative,,76,Non-denominational Christianity,United States of America,White or Caucasian,No,
147,instructions,No,0,6,5,1,7,4,3,4,5,4.75,4,"BLM to start. Burning down cities and attacking people because their white, in order to create a society that is less racist towards black people, all the while being racist as hell. Then blaming white people because they leave ""white flight"", but what did you expect them to do when you burnt down their business, then promote black owned businesses.  Pronouns. LGBTQ+. Grooming children who are normal to change their gender and mutilate their bodies.  How is any of this morally acceptable or considered progress? Being respectful to your neighbor/people in your community regardless of race or sexual orientation is where it starts. ",6,4,4,4,4,4,4,4,4.5,4,2,2,1,4,2,2.2,Yes I believe this to be true. You cant sit there and wait for a higher power to appear to make things better. It starts with us. It starts with getting to know other people and having a mutual respect. There's always going to be people you don't like from other groups including your own. That doesn't mean you need to dismiss the entire group. ,Man,,Moderate,,43,Other,United States of America,White or Caucasian,No,I would probably fall along the lines of Agnostic leaning towards Christianity. I do pray before bed.  
37,instructions,No,0,5,5,5,4,3,4,4,4,4.75,3.75,2016 US Presidential Election,6,6,5,5,2,2,1,4,5.5,2.25,4,4,3,3,4,3.6,"I think this is true because people are the driver for change.  Without people standing up to make a change, there would be no need for moral progress to occur.",Woman,,Liberal,,33,Orthodox,United States of America,White or Caucasian,No,
142,instructions,Yes,2,5,5,3,6,2,5,4,4,4.75,3.75,racism and fairness inside the US police departments accross the country  about the treament of african americans ,5,5,3,6,4,3,3,5,4.75,3.75,3,4,2,4,2,3,"i believe that there are good and evil people in this world ,if good people did not work  harder than  evil people will take the world sending people back to the dark age",Woman,,Liberal,,39,Catholicism,United States of America,Black or African American,No,
39,instructions,Not sure,1,7,4,4,5,6,5,6,6,5,5.75,Riots of 2020,4,4,5,5,1,1,1,1,4.5,1,1,1,1,1,1,1,"Human input is required by default for morality to 'progress', but I feel like this is something that mostly happens on its own over time. Any active pursuit only potentially expedites it.",Man,,Moderate,,25,Atheism,United States of America,White or Caucasian,No,
90,instructions,No,0,5,5,5,5,3,5,5,7,5,5,sex trafficking,6,6,6,5,6,6,6,6,5.75,6,5,5,4,5,5,4.8,We must work to change ourselves and better the world around us or change will not happen. What we do or don't do now impacts the future for good or ill. So yes we must actively work to make the world better by the actions we take. ,Woman,,Conservative,,34,Non-denominational Christianity,United States of America,White or Caucasian,No,
13,instructions,Yes,2,5,5,4,6,5,6,4,4,5,4.75,Chevron has had accurate climate models showing the negative effects of human induced climate change for decades on kept their findings secret.,6,2,3,2,1,1,1,2,3.25,1.25,2,4,1,3,3,2.6,"Morality is a human issue, humankind as a whole defines it. If humans worked in the opposite direction of morality, we would not be forced to change direction.",Man,,Other,Progressive left,41,Other,United States of America,"White or Caucasian,Asian",No,Luciferian
33," Banana, while someone else prefers a pineapple.",Yes,2,6,5,5,4,5,4,4,5,5,4.5,Think about something that has happened in the real world recently that has set back progress or blocked it from occurring.,4,5,3,5,5,4,3,5,4.25,4.25,4,4,3,3,3,3.4,Yes,Woman,,Liberal,,26,Catholicism,United States of America,White or Caucasian,No,
135,instructions,No,0,6,6,2,6,5,5,5,3,5,4.5,Movements that become too big and lose sight of their plan.  Or when people belonging to that movement start to act out of self interest and make the movement less inportant.  By doing this they also cause the general population to dissagree with them more and like them less.  Which causes moral progress to slow in our country,5,5,5,3,5,6,5,6,4.5,5.5,3,5,2,5,2,3.4,"People have to do their part to make the world around them better.  But while doing so, they can't start to think about only themselves. ",Man,,Liberal,,40,Non-denominational Christianity,United States of America,White or Caucasian,Yes,
148,instructions,No,0,6,5,3,6,3,5,5,5,5,4.5,palestine occupation,3,6,6,5,3,5,5,5,5,4.5,3,4,4,4,4,3.8,yes it absolutely true,Man,,Conservative,,45,Catholicism,United States of America,White or Caucasian,No,
105,instructions,Yes,2,6,5,4,5,4,5,4,4,5,4.25,war,5,4,4,4,5,4,4,4,4.25,4.25,3,5,2,2,4,3.2,"yes , its up to each person to make a change",Woman,,Moderate,,52,Other,United States of America,White or Caucasian,No,none
80,instructions,Not sure,1,5,5,5,5,5,3,5,3,5,4,Womens right to choose,7,5,5,6,1,1,1,1,5.75,1,3,4,1,3,3,2.8,people need to stand up for what they believe and hope that it helps,Woman,,Liberal,,47,Lutheran,United States of America,White or Caucasian,No,
81,instructions,No,0,7,4,4,5,3,3,3,3,5,3,"Just listen to the news with daily reports of crime, illegalities, protests, looting - none of that is moral and gets worse every day.  Morality is a thing of the past.",3,4,7,2,4,5,5,4,4,4.5,3,4,2,4,3,3.2,"The important part of that statement is ""IF"" - there are so many people who do not work towards morality today.  If they did, yes, things would improve.",Woman,,Very conservative,,70,Methodist,United States of America,White or Caucasian,No,
50,instructions,No,0,6,6,2,6,1,2,1,7,5,2.75,The legalization of homosexual marriage. ,7,6,6,7,6,6,7,5,6.5,6,5,5,4,4,4,4.4,I agree because the father of lies is constantly working to make sure that moral progress doesn't occur. We have to continually fight against him and his agenda to progress morally. ,Man,,Very conservative,,32,Mormonism (Latter Day Saints),United States of America,White or Caucasian,No,
116,instructions,No,0,6,6,3,5,1,2,1,4,5,2,Russia's invasion of Ukraine seems like something that might have happened 50 or 100 years ago.,3,4,3,2,1,2,1,2,3,1.5,3,2,2,1,2,2,"Yes, I think so. Morality is a human construct, so if people did not pay certain attention to it, I think it's silly to think it would have any sort of 'progress'.",Man,,Conservative,,32,Catholicism,United States of America,White or Caucasian,No,
99,instructions,Not sure,1,5,5,5,5,1,3,2,1,5,1.75,Massachusetts law regarding non-profit organizations: Your organization must be a tax-exempt non-profit. At least 51% of the organization's Board of Directors and Voting Membership must be women and/or members of one of our statutorily defined minority groups. The same Board of Directors and Voting Membership must control the NPO's daily and long-term operations.,7,7,7,7,1,1,1,1,7,1,3,3,2,2,2,2.4,Yes. Cause and effect applies here. You need a cause (people working to make the world better) to have an effect (moral progress). I also believe the idea of moral progress is very subjective. Many people would see the example about NPOs that I referenced previously as a good thing. Putting down white males is seen as necessary and is even celebrated by many when at the end of the day it is clear cut discrimination and is NOT moral progress. ,Man,,Conservative,,30,Catholicism,United States of America,White or Caucasian,No,
104,instructions,Yes,2,6,5,4,6,7,6,6,5,5.25,6,I think moral progress has been really low with regards to drag queens being targeted by the right wing. ,3,4,5,5,4,4,4,4,4.25,4,1,5,1,5,3,3,I just think this is a reasonable thing to believe given what moral progress needs to exist.,Man,,Very liberal,,33,Catholicism,United States of America,White or Caucasian,Yes,
149,instructions,Yes,2,6,5,5,5,4,6,7,5,5.25,5.5,"the different races, throughout history racism has decreased significantly",5,6,5,3,5,5,5,6,4.75,5.25,3,4,3,3,3,3.2,"all people must work for the common good,",Man,,Liberal,,33,Catholicism,United States of America,White or Caucasian,No,
40,instructions,Yes,2,6,4,6,5,5,6,4,4,5.25,4.75,Roe vs Wade,6,5,2,5,1,1,1,1,4.5,1,1,4,1,3,4,2.6,"I think that most people can not affect change through their words, but only through their pocketbooks.  Boycotting businesses will help bring change faster.",Woman,,Moderate,,43,Catholicism,United States of America,White or Caucasian,No,
97,instructions,Not sure,1,6,6,4,5,5,5,5,4,5.25,4.75,blm vandalism and rioting ,4,5,4,4,4,4,3,4,4.25,3.75,2,3,1,3,3,2.4,it is true because we cant just not change and expect stuff to change ,Woman,,Liberal,,28,Other,United States of America,White or Caucasian,No,spiritual 
144,instructions,Not sure,1,5,7,4,5,5,5,5,3,5.25,4.5,"Russian war on Ukraine (which started in 2014 with lies from putin/Yanukovich --brainwashing the Russian people into thinking that it's a righteous war), causing the killing of tens of thousands of Ukrainians and even Russians (who believed all the immoral brainwashing from Putin)",7,7,5,6,1,1,1,1,6.25,1,3,3,1,3,1,2.2,"What has been going on in Russia for decades is a good example of this. There are some people who are actively trying to make things better, but, by and large, Putin has squelched descent to the point that it's kept the number of htose people down. Instead, the people there (not all, but large numbers of them) actively do nothing in order to make their own country and the world at large better. So, moral progress is not being made. The amount of corruption (everything from oligarchs stealing, down to even people on their own street stealing and hurting others just to make ends meet) is massive. Moral progress is barely occurring there, and won't until they stand together collectively",Woman,,Conservative,,54,Methodist,United States of America,White or Caucasian,No,
54,instructions,No,0,5,6,4,6,3,5,4,5,5.25,4.25,racism,6,6,6,5,6,6,6,4,5.75,5.5,4,5,4,4,3,4,I think it is true. I feel that people have created this immoral world and we need to fix it.,Man,,Conservative,,48,Non-denominational Christianity,United States of America,White or Caucasian,No,
32,instructions,Not sure,1,5,6,5,5,4,4,4,4,5.25,4,Abortion laws,3,3,4,6,1,1,1,2,4,1.25,2,4,2,4,2,2.8,Yes because people need to take action together and to raise awareness for things to improve ,Man,,Moderate,,24,Catholicism,United States of America,Asian,No,
58,instructions,Not sure,1,6,6,4,5,3,5,4,4,5.25,4,Shootings in the United States because people are allowed to have weapons.,5,3,4,4,1,1,1,1,4,1,1,1,1,1,1,1,"Yes, and no. People in power are really the ones who have influence with this. And yet there are so many horrible, corrupt people in power. ",Woman,,Very liberal,,66,Other,United States of America,White or Caucasian,No,Armenian Apostolic
25,instructions,No,0,6,4,5,6,3,4,4,4,5.25,3.75,race relations,6,6,6,6,6,3,3,4,6,4,4,4,4,4,4,4,I agree because it takes people to make moral progress.,Woman,,Moderate,,22,Non-denominational Christianity,United States of America,Black or African American,No,
14,instructions,Not sure,1,6,4,5,6,3,5,4,2,5.25,3.5,Making abortion illegal,6,5,2,2,1,1,1,2,3.75,1.25,3,2,2,2,2,2.2,"If everyone went along with the status quo, where is the incentive to change? Over centuries, brave people have stood up for change. It does not happen by itself.",Woman,,Liberal,,64,Agnosticism,,White or Caucasian,No,
76,instructions,Yes,2,6,4,5,6,3,5,3,3,5.25,3.5,Roe v Wade being overturned,6,5,4,4,1,1,1,1,4.75,1,3,2,1,1,1,1.6,"I think that people have to work to make it better, but who really knows if it would occur or not. It's almost impossible to tell.",Man,,Liberal,,33,Agnosticism,United States of America,White or Caucasian,No,
23,instructions,Not sure,1,7,7,1,7,7,5,7,7,5.5,6.5,Some people in the government are pushing to celebrate sodomy.,5,1,1,1,7,7,7,7,2,7,5,5,5,5,5,5,I believe it is true but people's actions may not always have intended consequences,Man,,Very conservative,,41,Catholicism,United States of America,Black or African American,No,
91,instructions,Yes,2,7,2,6,7,6,7,6,6,5.5,6.25,Overturning Roe V Wade,7,7,7,6,1,1,1,1,6.75,1,4,2,5,2,3,3.2,"I do believe this is true, we all stand on the shoulders of past generations in all things.",Woman,,Very liberal,,39,Agnosticism,United States of America,White or Caucasian,No,
57,instructions,Yes,2,6,5,5,6,6,6,6,6,5.5,6,Allowing people to have guns,6,6,6,6,6,4,6,6,6,5.5,4,5,5,4,4,4.4,"Yes, because we need action to make something happen.",Woman,,Moderate,,43,Mormonism (Latter Day Saints),United States of America,"White or Caucasian,Asian",No,
84,instructions,Yes,2,6,5,5,6,5,6,5,6,5.5,5.5,War in Ukraine ,5,5,5,6,5,5,6,6,5.25,5.5,4,5,4,4,4,4.2,Yes this is true because morality is based on human actions.,Man,,Liberal,,24,Islam,United States of America,Asian,No,
10,instructions,Yes,2,5,6,5,6,5,6,5,4,5.5,5,the war between ukraine and russia,5,4,6,5,3,3,2,5,5,3.25,3,4,2,3,3,3,"I believe that it happens due to people actively taking the steps to do better, choose better, and be a better human. Otherwise people would just do whatever and eventually it would be a mess of fights and injustice happening.",Woman,,Liberal,,33,Baptist,United States of America,White or Caucasian,No,
66,instructions,Yes,2,6,5,5,6,4,6,5,5,5.5,5,I'm thinking about the recent legislation some states are passing that make performing as a trans person in public illegal.,6,6,5,4,1,1,1,1,5.25,1,2,1,1,1,1,1.2,"I believe this is somewhat true. I would believe more strongly if ""actively working to make the world better"" was the exclusive reason for moral progress, but it isn't. I think things like empathy, education, personal experience, and so on also contribute. People come to places of understanding on their own as well.",Man,,Liberal,,37,Atheism,United States of America,White or Caucasian,No,
114,instructions,Yes,2,5,6,6,5,4,6,5,5,5.5,5,Moral progress hasn't occurred when people constantly bring up race as a political tool and make it seem a worse problem than in actuality. There's seems to be a larger divide now than in the past decades as it's now a tool to persuade individuals to side with a particular group.,5,3,3,3,4,7,6,6,3.5,5.75,3,4,3,3,3,3.2,"The best way to improve the morals in the world is to teach one's children from one's past mistakes and experiences, encouraging an improvement over their own choices.",Man,,Conservative,,37,Pentecostalism,United States of America,"White or Caucasian,American Indian/Native American or Alaska Native",No,
138,instructions,Yes,2,6,6,5,5,5,6,4,4,5.5,4.75,The election of an unethical person like Donald Trump as president seems to have given a large group of people permission to be their worst in terms of morality.,5,2,3,2,1,1,1,2,3,1.25,2,3,1,2,2,2,The concept of morality relies on the actions of people.  Moral progress cannot occur without the average morality of the general population changing.  Change for the better cannot happen without effort.  ,Man,,Moderate,,44,Agnosticism,United States of America,White or Caucasian,No,
8,instructions,Yes,2,6,3,6,7,5,7,3,3,5.5,4.5,Roe v Wade repealed  ,7,5,5,5,1,1,1,1,5.5,1,3,1,1,1,1,1.4,"I think generally over a long period of time moral progress will occur regardless of active work. It will help progress happen faster, but to some degree it is inevitable.",Woman,,Very liberal,,22,Atheism,United States of America,"White or Caucasian,Black or African American,American Indian/Native American or Alaska Native",Yes,
74,instructions,Yes,2,5,6,6,5,4,6,4,4,5.5,4.5,human trafficking,4,4,4,4,1,1,1,1,4,1,1,1,1,1,1,1,"I do think that it is true.  People have been working hard and giving up their life to ensure that people are treated equally and fairly.  People fought for blacks to have the same rights as whites.  Women fought to have the same rights and freedoms as men.  If no one took on these issues, then we would still have segregation and women would still be stuck at home.",Woman,,Liberal,,40,Atheism,United States of America,White or Caucasian,No,
22,instructions,Not sure,1,6,6,5,5,4,4,6,3,5.5,4.25,the banning of speaking about gay matters in school ,7,7,4,7,1,1,1,1,6.25,1,1,1,1,1,1,1,yes,Woman,,Liberal,,36,Catholicism,United States of America,White or Caucasian,No,
5,instructions,Yes,2,6,5,6,5,3,6,4,3,5.5,4,Roe vs Wade being overturned by the US Supreme Court ,6,5,5,5,1,1,1,1,5.25,1,3,1,1,1,1,1.4,"There are always going to be people who are not moral in power. If normal people do not work to make the world a better place, moral progress would not occur because other things like money would take priority. ",Man,,Liberal,,35,Agnosticism,United States of America,White or Caucasian,No,
79,instructions,No,0,6,6,5,5,4,5,2,4,5.5,3.75,The election of Donald Trump in 2016.,7,7,5,4,1,1,1,1,5.75,1,1,1,1,1,1,1,Only people can affect moral progress otherwise there would be no progress of anything.,Woman,,Liberal,,60,Agnosticism,United States of America,White or Caucasian,No,
21,instructions,Not sure,1,5,6,6,5,3,5,3,3,5.5,3.5,the negative reactions of some segments of society to transpeople,7,6,4,5,1,1,1,1,5.5,1,1,1,1,1,1,1,"I do. It's really easy to let things ""slide"" so if people aren't working actively to press for equal rights, improvements in how we treat each other, etc, I don't think it would happen.",Woman,,Liberal,,36,Atheism,United States of America,White or Caucasian,No,
52,instructions,Not sure,1,6,6,5,5,3,4,3,4,5.5,3.5,"Propaganda and censorship of information from private companies in the US, largely, social media companies.",5,5,3,3,4,2,3,4,4,3.25,5,3,3,3,3,3.4,"I feel that ""morality"" itself describes people's behaviors. If people are not acting in moral ways, how can we even claim that moral progress would occur? Yes, I believe that moral progress requires moral action, so I agree with this statement.",Woman,,Moderate,,34,Agnosticism,United States of America,White or Caucasian,No,
34,instructions,Yes,2,6,6,5,5,3,5,3,2,5.5,3.25,War in Ukraine,2,2,3,2,2,5,5,2,2.25,3.5,3,5,3,3,3,3.4,"Because people are the ones who are either moral or unmoral, so they have to be the ones to make a change",Man,,Moderate,,21,Lutheran,United States of America,White or Caucasian,No,
129,instructions,No,0,5,6,5,6,1,4,2,1,5.5,2,The Russian attack on Ukraine demonstrates that peace does not exist and that powerful nations will still kill those in other countries to get what they want.,7,5,6,7,1,1,1,1,6.25,1,2,1,1,1,1,1.2,"I believe it is true because if nothing is questioned then nothing can change.  The very nature of what is moral must be constantly examined and it must be spoken about in media, communications to officials in order for any change to occur.",Man,,Liberal,,60,Atheism,United States of America,White or Caucasian,No,
51,instructions,Not sure,1,6,7,6,4,6,6,6,7,5.75,6.25,wars between countries,1,5,4,4,1,1,4,1,3.5,1.75,1,1,1,1,1,1,,Woman,,Conservative,,51,Atheism,United States of America,White or Caucasian,Yes,
140,instructions,Yes,2,6,6,5,6,6,6,6,6,5.75,6,People going against gay marriage ,5,6,6,2,5,1,5,1,4.75,3,2,2,1,1,1,1.4,I agree for the most part because people need to work toward late something to improve the situation,Woman,,Liberal,,33,Atheism,United States of America,White or Caucasian,No,
146,instructions,Yes,2,6,5,6,6,7,6,5,6,5.75,6,I would say the Supreme Court reversing course on the abortion ruling.,6,6,5,3,5,4,4,5,5,4.5,3,5,3,3,4,3.6,"Yes. If no one worked on making the world better, I would think that progress would not get made. It also helps inspire people and snowballs into something positive. ",Man,,Liberal,,26,Non-denominational Christianity,United States of America,White or Caucasian,No,
130,instructions,Yes,2,7,5,5,6,6,6,5,6,5.75,5.75,Seeing the looting of stores in Chicago and the people responsible makes me thing the progress has stalled.,5,5,3,4,1,1,1,4,4.25,1.75,2,2,2,3,2,2.2,"I think it is true because we can't just sit back and expect progress to be made by others, we have to engage in it ourselves.",Man,,Conservative,,48,Atheism,United States of America,White or Caucasian,No,
7,instructions,Yes,2,6,5,6,6,5,6,6,4,5.75,5.25,Overturning of Roe v. Wade and states like Texas thus banning abortions and creating tip hotlines to have people rat each other out.,7,5,6,6,1,1,1,1,6,1,2,1,1,1,1,1.2,"I think this is true because morality is inherently a human attribute that requires human action or inaction to be judged. If people who work on making the world better stop working, then either no progress will be made, or those who are working immorally will supersede those who are moral.",Woman,,Very liberal,,25,Atheism,United States of America,White or Caucasian,No,
26,instructions,Yes,2,6,6,4,7,5,5,5,5,5.75,5,Taking away a woman's right to govern her own body by choosing abortion.,7,7,5,5,2,1,1,2,6,1.5,2,5,3,5,3,3.6,"I do believe this is true. Ignorance and stupidity exist in high percentages when it comes to certain issues, and without giving the people giving those issues a voice, there would likely be no change for the better.",Woman,,Moderate,,33,Baptist,United States of America,White or Caucasian,No,
137,instructions,No,0,6,7,5,5,4,5,5,5,5.75,4.75,trans rights,7,5,7,6,5,1,1,1,6.25,2,1,1,1,1,1,1,i belive so as it all comes from the people and how they treat eachother morally based on alot of things,Non-binary,,Very liberal,,21,Agnosticism,United States of America,Other,Yes,
115,instructions,Yes,2,6,5,6,6,2,5,4,6,5.75,4.25,Transphobic legislation,7,6,4,5,2,1,2,2,5.5,1.75,2,2,2,2,2,2,Active efforts to change behavior are required to form social norms and hence morality.,Non-binary,,Liberal,,21,Agnosticism,United States of America,White or Caucasian,No,
